OID,Shape_Leng,Shape_Area,OID_1,Latitude,Longitude
-1,800.000000014901160,40000.000001490116000,1,37.797129296851516,-122.305001205817250
-1,799.999999955296520,39999.999995529652000,2,37.797164029444687,-122.302730645979450
-1,799.999999985098840,39999.999998509884000,3,37.797198718324452,-122.300460084019190
-1,799.999999985098840,39999.999998509884000,4,37.797233363490761,-122.298189519938870
-1,799.999999985098840,39999.999998509884000,5,37.797267964943543,-122.295918953741340
-1,799.999999970197680,39999.999997019768000,6,37.797508951129267,-122.280024931299540
-1,800.000000014901160,40000.000001490116000,7,37.797543202871672,-122.277754348260030
-1,799.999999955296520,39999.999995529652000,8,37.797577410900033,-122.275483763127300
-1,799.999999985098840,39999.999998509884000,9,37.797611575214262,-122.273213175904100
-1,799.999999992549420,39999.999999254942000,10,37.798896232539803,-122.307315617988480
-1,800.000000037252900,40000.000003725290000,11,37.798931009678519,-122.305045005206940
-1,800.000000007450580,40000.000000745058000,12,37.799069681088923,-122.295962532853490
-1,800.000000022351740,40000.000002235174000,13,37.799104239655094,-122.293691909471550
-1,799.999999992549420,39999.999999254942000,14,37.799138754506572,-122.291421283977540
-1,800.000000037252900,40000.000003725290000,15,37.799173225643301,-122.289150656374150
-1,800.000000007450580,40000.000000745058000,16,37.799242036772263,-122.284609394849940
-1,800.000000022351740,40000.000002235174000,17,37.799276376764382,-122.282338760934340
-1,799.999999992549420,39999.999999254942000,18,37.799310673041504,-122.280068124920040
-1,800.000000037252900,40000.000003725290000,19,37.799344925603577,-122.277797486809650
-1,799.999999977648260,39999.999997764826000,20,37.799379134450540,-122.275526846605970
-1,800.000000007450580,40000.000000745058000,21,37.799413299582341,-122.273256204311640
-1,800.000000007450580,40000.000000745058000,22,37.800628256830883,-122.311900803894260
-1,800.000000022351740,40000.000002235174000,23,37.800663122232500,-122.309630140300240
-1,799.999999992549420,39999.999999254942000,24,37.800697943918806,-122.307359474575290
-1,800.000000007450580,40000.000000745058000,25,37.800871396618525,-122.296006114080400
-1,800.000000022351740,40000.000002235174000,26,37.800905956011675,-122.293735435625990
-1,799.999999992549420,39999.999999254942000,27,37.800940471689096,-122.291464755059390
-1,800.000000037252900,40000.000003725290000,28,37.800974943650722,-122.289194072383250
-1,799.999999977648260,39999.999997764826000,29,37.801009371896484,-122.286923387600240
-1,800.000000007450580,40000.000000745058000,30,37.801043756426324,-122.284652700713080
-1,800.000000022351740,40000.000002235174000,31,37.801078097240200,-122.282382011724270
-1,799.999999992549420,39999.999999254942000,32,37.801112394338027,-122.280111320636620
-1,800.000000037252900,40000.000003725290000,33,37.801146647719754,-122.277840627452700
-1,799.999999977648260,39999.999997764826000,34,37.801180857385340,-122.275569932175330
-1,800.000000007450580,40000.000000745058000,35,37.801215023334699,-122.273299234807180
-1,799.999999977648260,39999.999997764826000,36,37.802325104919305,-122.318756915948460
-1,800.000000022351740,40000.000002235174000,37,37.802360102303943,-122.316486203689610
-1,799.999999962747100,39999.999996274710000,38,37.802395055972411,-122.314215489291750
-1,799.999999992549420,39999.999999254942000,39,37.802429965924645,-122.311944772757530
-1,800.000000007450580,40000.000000745058000,40,37.802464832160581,-122.309674054089460
-1,799.999999977648260,39999.999997764826000,41,37.802499654680155,-122.307403333290340
-1,799.999999962747100,39999.999996274710000,42,37.802569168569988,-122.302861885309540
-1,799.999999992549420,39999.999999254942000,43,37.802603859940106,-122.300591158133290
-1,799.999999992549420,39999.999999254942000,44,37.802638507593635,-122.298320428836600
-1,799.999999992549420,39999.999999254942000,45,37.802673111530495,-122.296049697422180
-1,800.000000007450580,40000.000000745058000,46,37.802707671750646,-122.293778963892680
-1,799.999999977648260,39999.999997764826000,47,37.802742188254001,-122.291508228250810
-1,800.000000022351740,40000.000002235174000,48,37.802776661040518,-122.289237490499220
-1,799.999999962747100,39999.999996274710000,49,37.802811090110133,-122.286966750640630
-1,799.999999992549420,39999.999999254942000,50,37.802845475462782,-122.284696008677760
-1,800.000000007450580,40000.000000745058000,51,37.802879817098415,-122.282425264613050
-1,799.999999977648260,39999.999997764826000,52,37.802914115016954,-122.280154518449360
-1,800.000000022351740,40000.000002235174000,53,37.802948369218349,-122.277883770189290
-1,799.999999962747100,39999.999996274710000,54,37.802982579702558,-122.275613019835590
-1,799.999999992549420,39999.999999254942000,55,37.803016746469496,-122.273342267390940
-1,800.000000007450580,40000.000000745058000,56,37.803050869519112,-122.271071512857840
-1,800.000000022351740,40000.000002235174000,57,37.804091768945149,-122.321071817367780
-1,799.999999992549420,39999.999999254942000,58,37.804126810884412,-122.318801052174660
-1,800.000000022351740,40000.000002235174000,59,37.804266541469239,-122.309717970009770
-1,799.999999977648260,39999.999997764826000,60,37.804370880375316,-122.302905635998770
-1,800.000000007450580,40000.000000745058000,61,37.804405572575575,-122.300634853745250
-1,800.000000007450580,40000.000000745058000,62,37.804440221058179,-122.298364069371060
-1,800.000000007450580,40000.000000745058000,63,37.804474825823092,-122.296093282879030
-1,800.000000022351740,40000.000002235174000,64,37.804509386870237,-122.293822494271720
-1,799.999999992549420,39999.999999254942000,65,37.804543904199541,-122.291551703551950
-1,800.000000037252900,40000.000003725290000,66,37.804578377810955,-122.289280910722240
-1,799.999999977648260,39999.999997764826000,67,37.804612807704423,-122.287010115785380
-1,800.000000007450580,40000.000000745058000,68,37.804647193879880,-122.284739318744120
-1,800.000000022351740,40000.000002235174000,69,37.804681536337277,-122.282468519600880
-1,799.999999992549420,39999.999999254942000,70,37.804715835076536,-122.280197718358490
-1,800.000000037252900,40000.000003725290000,71,37.804750090097613,-122.277926915019560
-1,799.999999977648260,39999.999997764826000,72,37.804784301400439,-122.275656109586820
-1,800.000000007450580,40000.000000745058000,73,37.804818468984962,-122.273385302063030
-1,800.000000022351740,40000.000002235174000,74,37.804852592851113,-122.271114492450590
-1,799.999999992549420,39999.999999254942000,75,37.804886672998833,-122.268843680752430
-1,800.000000022351740,40000.000002235174000,76,37.805717603790690,-122.332470079949490
-1,799.999999992549420,39999.999999254942000,77,37.805858386954618,-122.323386828941810
-1,800.000000007450580,40000.000000745058000,78,37.805893473450531,-122.321116010814650
-1,799.999999992549420,39999.999999254942000,79,37.806033382252124,-122.312032716885470
-1,800.000000007450580,40000.000000745058000,80,37.806068250156692,-122.309761888061290
-1,800.000000022351740,40000.000002235174000,81,37.806137854810416,-122.305220224021510
-1,799.999999962747100,39999.999996274710000,82,37.806172591559452,-122.302949388811290
-1,799.999999992549420,39999.999999254942000,83,37.806207284589853,-122.300678551477740
-1,799.999999992549420,39999.999999254942000,84,37.806241933901553,-122.298407712023430
-1,799.999999992549420,39999.999999254942000,85,37.806276539494512,-122.296136870451060
-1,800.000000007450580,40000.000000745058000,86,37.806311101368657,-122.293866026763280
-1,799.999999977648260,39999.999997764826000,87,37.806345619523910,-122.291595180962900
-1,800.000000022351740,40000.000002235174000,88,37.806380093960243,-122.289324333052450
-1,799.999999962747100,39999.999996274710000,89,37.806414524677578,-122.287053483034680
-1,799.999999992549420,39999.999999254942000,90,37.806448911675844,-122.284782630912350
-1,800.000000007450580,40000.000000745058000,91,37.806483254955005,-122.282511776687850
-1,799.999999977648260,39999.999997764826000,92,37.806517554514997,-122.280240920364090
-1,800.000000022351740,40000.000002235174000,93,37.806551810355749,-122.277970061943650
-1,799.999999962747100,39999.999996274710000,94,37.806586022477205,-122.275699201429280
-1,799.999999992549420,39999.999999254942000,95,37.806620190879315,-122.273428338823620
-1,800.000000007450580,40000.000000745058000,96,37.806654315562000,-122.271157474129230
-1,799.999999977648260,39999.999997764826000,97,37.806688396525225,-122.268886607348860
-1,800.000000037252900,40000.000003725290000,98,37.807519303464801,-122.332514550945850
-1,799.999999977648260,39999.999997764826000,99,37.807554565676433,-122.330243686343740
-1,800.000000007450580,40000.000000745058000,100,37.807589784169124,-122.327972819586140
-1,800.000000007450580,40000.000000745058000,101,37.807624958942803,-122.325701950675550
-1,800.000000007450580,40000.000000745058000,102,37.807660089997412,-122.323431079614680
