OID,Shape_Leng,Shape_Area,OID_1
-1,800.000000014901160,40000.000001490116000,1
-1,799.999999955296520,39999.999995529652000,2
-1,799.999999985098840,39999.999998509884000,3
-1,799.999999985098840,39999.999998509884000,4
-1,799.999999985098840,39999.999998509884000,5
-1,799.999999970197680,39999.999997019768000,6
-1,800.000000014901160,40000.000001490116000,7
-1,799.999999955296520,39999.999995529652000,8
-1,799.999999985098840,39999.999998509884000,9
-1,799.999999992549420,39999.999999254942000,10
-1,800.000000037252900,40000.000003725290000,11
-1,800.000000007450580,40000.000000745058000,12
-1,800.000000022351740,40000.000002235174000,13
-1,799.999999992549420,39999.999999254942000,14
-1,800.000000037252900,40000.000003725290000,15
-1,800.000000007450580,40000.000000745058000,16
-1,800.000000022351740,40000.000002235174000,17
-1,799.999999992549420,39999.999999254942000,18
-1,800.000000037252900,40000.000003725290000,19
-1,799.999999977648260,39999.999997764826000,20
-1,800.000000007450580,40000.000000745058000,21
-1,800.000000007450580,40000.000000745058000,22
-1,800.000000022351740,40000.000002235174000,23
-1,799.999999992549420,39999.999999254942000,24
-1,800.000000007450580,40000.000000745058000,25
-1,800.000000022351740,40000.000002235174000,26
-1,799.999999992549420,39999.999999254942000,27
-1,800.000000037252900,40000.000003725290000,28
-1,799.999999977648260,39999.999997764826000,29
-1,800.000000007450580,40000.000000745058000,30
-1,800.000000022351740,40000.000002235174000,31
-1,799.999999992549420,39999.999999254942000,32
-1,800.000000037252900,40000.000003725290000,33
-1,799.999999977648260,39999.999997764826000,34
-1,800.000000007450580,40000.000000745058000,35
-1,799.999999977648260,39999.999997764826000,36
-1,800.000000022351740,40000.000002235174000,37
-1,799.999999962747100,39999.999996274710000,38
-1,799.999999992549420,39999.999999254942000,39
-1,800.000000007450580,40000.000000745058000,40
-1,799.999999977648260,39999.999997764826000,41
-1,799.999999962747100,39999.999996274710000,42
-1,799.999999992549420,39999.999999254942000,43
-1,799.999999992549420,39999.999999254942000,44
-1,799.999999992549420,39999.999999254942000,45
-1,800.000000007450580,40000.000000745058000,46
-1,799.999999977648260,39999.999997764826000,47
-1,800.000000022351740,40000.000002235174000,48
-1,799.999999962747100,39999.999996274710000,49
-1,799.999999992549420,39999.999999254942000,50
-1,800.000000007450580,40000.000000745058000,51
-1,799.999999977648260,39999.999997764826000,52
-1,800.000000022351740,40000.000002235174000,53
-1,799.999999962747100,39999.999996274710000,54
-1,799.999999992549420,39999.999999254942000,55
-1,800.000000007450580,40000.000000745058000,56
-1,800.000000022351740,40000.000002235174000,57
-1,799.999999992549420,39999.999999254942000,58
-1,800.000000022351740,40000.000002235174000,59
-1,799.999999977648260,39999.999997764826000,60
-1,800.000000007450580,40000.000000745058000,61
-1,800.000000007450580,40000.000000745058000,62
-1,800.000000007450580,40000.000000745058000,63
-1,800.000000022351740,40000.000002235174000,64
-1,799.999999992549420,39999.999999254942000,65
-1,800.000000037252900,40000.000003725290000,66
-1,799.999999977648260,39999.999997764826000,67
-1,800.000000007450580,40000.000000745058000,68
-1,800.000000022351740,40000.000002235174000,69
-1,799.999999992549420,39999.999999254942000,70
-1,800.000000037252900,40000.000003725290000,71
-1,799.999999977648260,39999.999997764826000,72
-1,800.000000007450580,40000.000000745058000,73
-1,800.000000022351740,40000.000002235174000,74
-1,799.999999992549420,39999.999999254942000,75
-1,800.000000022351740,40000.000002235174000,76
-1,799.999999992549420,39999.999999254942000,77
-1,800.000000007450580,40000.000000745058000,78
-1,799.999999992549420,39999.999999254942000,79
-1,800.000000007450580,40000.000000745058000,80
-1,800.000000022351740,40000.000002235174000,81
-1,799.999999962747100,39999.999996274710000,82
-1,799.999999992549420,39999.999999254942000,83
-1,799.999999992549420,39999.999999254942000,84
-1,799.999999992549420,39999.999999254942000,85
-1,800.000000007450580,40000.000000745058000,86
-1,799.999999977648260,39999.999997764826000,87
-1,800.000000022351740,40000.000002235174000,88
-1,799.999999962747100,39999.999996274710000,89
-1,799.999999992549420,39999.999999254942000,90
-1,800.000000007450580,40000.000000745058000,91
-1,799.999999977648260,39999.999997764826000,92
-1,800.000000022351740,40000.000002235174000,93
-1,799.999999962747100,39999.999996274710000,94
-1,799.999999992549420,39999.999999254942000,95
-1,800.000000007450580,40000.000000745058000,96
-1,799.999999977648260,39999.999997764826000,97
-1,800.000000037252900,40000.000003725290000,98
-1,799.999999977648260,39999.999997764826000,99
-1,800.000000007450580,40000.000000745058000,100
-1,800.000000007450580,40000.000000745058000,101
-1,800.000000007450580,40000.000000745058000,102
-1,800.000000022351740,40000.000002235174000,103
-1,799.999999992549420,39999.999999254942000,104
-1,799.999999977648260,39999.999997764826000,105
-1,800.000000007450580,40000.000000745058000,106
-1,800.000000022351740,40000.000002235174000,107
-1,799.999999992549420,39999.999999254942000,108
-1,800.000000037252900,40000.000003725290000,109
-1,799.999999977648260,39999.999997764826000,110
-1,800.000000007450580,40000.000000745058000,111
-1,800.000000007450580,40000.000000745058000,112
-1,800.000000007450580,40000.000000745058000,113
-1,800.000000022351740,40000.000002235174000,114
-1,799.999999992549420,39999.999999254942000,115
-1,800.000000037252900,40000.000003725290000,116
-1,799.999999977648260,39999.999997764826000,117
-1,800.000000007450580,40000.000000745058000,118
-1,800.000000022351740,40000.000002235174000,119
-1,799.999999992549420,39999.999999254942000,120
-1,800.000000037252900,40000.000003725290000,121
-1,799.999999977648260,39999.999997764826000,122
-1,800.000000007450580,40000.000000745058000,123
-1,800.000000022351740,40000.000002235174000,124
-1,799.999999992549420,39999.999999254942000,125
-1,800.000000037252900,40000.000003725290000,126
-1,799.999999992549420,39999.999999254942000,127
-1,800.000000037252900,40000.000003725290000,128
-1,799.999999977648260,39999.999997764826000,129
-1,800.000000007450580,40000.000000745058000,130
-1,800.000000022351740,40000.000002235174000,131
-1,800.000000037252900,40000.000003725290000,132
-1,799.999999977648260,39999.999997764826000,133
-1,800.000000007450580,40000.000000745058000,134
-1,800.000000007450580,40000.000000745058000,135
-1,800.000000007450580,40000.000000745058000,136
-1,800.000000022351740,40000.000002235174000,137
-1,799.999999992549420,39999.999999254942000,138
-1,800.000000037252900,40000.000003725290000,139
-1,799.999999977648260,39999.999997764826000,140
-1,800.000000007450580,40000.000000745058000,141
-1,800.000000022351740,40000.000002235174000,142
-1,799.999999992549420,39999.999999254942000,143
-1,800.000000037252900,40000.000003725290000,144
-1,799.999999977648260,39999.999997764826000,145
-1,800.000000007450580,40000.000000745058000,146
-1,800.000000022351740,40000.000002235174000,147
