"","OID_1","FoodTruckCount_1000","FoodTruckCount_100","FoodTruckCount_2500","FoodTruckCount_250","FoodTruckCount_500","FoodTruckCount_50","Latitude","Longitude"
"1",1,1.99999991402221,0,10.1250001645853,0.0549999976748806,0.999999957796502,0,37.7971292968515,-122.305001205817
"2",2,2.39499993273794,0,14.044999779456,0,1.77749992478497,0,37.7971640294447,-122.302730645979
"3",3,2.97499996105438,0,20.5649998723896,0.684999971023845,1.04499995582273,0,37.7971987183245,-122.300460084019
"4",4,2.9999999605687,0.715000038637159,26.4199997668129,0.999999957600152,0.999999957796502,0.197500010669481,37.7972333634908,-122.298189519939
"5",5,2.74749994882357,0,33.7775002770162,0.724999969225749,0.999999957796502,0,37.7972679649435,-122.295918953741
"6",6,9.44749980609662,0,58.0150003040979,0,1.88499992159701,0,37.7975089511293,-122.2800249313
"7",7,13.2624999072837,0.0425000022845313,58.3275002783921,0.819999965298884,3.67249993556602,0,37.7975432028717,-122.27775434826
"8",8,19.7200002810332,0.750000040501906,58.612500301758,1.37999994149999,5.2374999163155,0.197500010669481,37.7975774109,-122.275483763127
"9",9,22.0150003853598,0,59.2325004841779,1.33499994327741,5.10499991841833,0,37.7976115752143,-122.273213175904
"10",10,2.9999999605687,0.147500007973019,10.2100001557083,0.942499960013109,0.999999957796502,0.0250000013521579,37.7988962325398,-122.307315617988
"11",11,2.92249992657429,0.137500007413307,11.604999947652,0.927499960736482,0.999999957796502,0.0225000012122297,37.7989310096785,-122.305045005207
"12",12,3.37249992411535,0,35.9575001140283,0.374999984075513,1.16749995014426,0,37.7990696810889,-122.295962532853
"13",13,3.02999995872926,0,42.6775000035854,0,0.977499958390688,0,37.7991042396551,-122.293691909472
"14",14,2.9999999605687,0,47.8299995682801,0,0,0,37.7991387545066,-122.291421283978
"15",15,2.9999999605687,0,51.9649995349165,0,0.652499972558429,0,37.7991732256433,-122.289150656374
"16",16,6.882499972794,0.387500020934886,55.4874992432749,0.999999957600152,0.999999957796502,0.150000008105094,37.7992420367723,-122.28460939485
"17",17,9.04249973353976,0.140000007553235,57.0349993253665,0.939999960100946,1.00749995733664,0.012500000676079,37.7992763767644,-122.282338760934
"18",18,12.589999842751,0,58.6325010157677,0.0199999991009522,3.08499993755458,0,37.7993106730415,-122.28006812492
"19",19,17.8024998121738,0,60.4675009257697,0.429999982732142,6.13499999454131,0,37.7993449256036,-122.27779748681
"20",20,21.892500011691,0.0750000040407658,60.200000496327,2.87499991665858,7.04000001418779,0,37.7993791344505,-122.275526846606
"21",21,25.6699999235402,0.10250000554856,60.2800001911379,2.12499992298211,7.65499977384643,0.00500000027200238,37.7994132995823,-122.273256204312
"22",22,1.99999991402221,0,9.67750012238503,0,0.627499973044103,0,37.8006282568309,-122.311900803894
"23",23,2.12249992012471,0,10.3225000388547,0.159999993200316,1.02749995663394,0,37.8006631222325,-122.3096301403
"24",24,2.98999996013465,0.257500013909948,11.7349998174207,0.992499957863664,0.999999957796502,0.0800000043206222,37.8006979439188,-122.307359474575
"25",25,4.11749985749183,0,37.8424990405259,0,1.90749991943203,0,37.8008713966185,-122.29600611408
"26",26,3.9224998411739,0,42.8024993610575,0,1.22249994781914,0,37.8009059560117,-122.293735435626
"27",27,3.38499991287694,0,49.6374997433384,0,0.587499975234897,0,37.8009404716891,-122.291464755059
"28",28,2.99499996192247,0,52.2674995645398,0,0.597499974883548,0,37.8009749436507,-122.289194072383
"29",29,2.84999992892523,0,54.1274995031159,0.237499989888312,0.999999957796502,0,37.8010093718965,-122.2869233876
"30",30,7.50999991128058,0.197500010677335,55.0724990163459,0.977499958587037,0.999999957796502,0.0350000018883087,37.8010437564263,-122.284652700713
"31",31,10.8199999952605,0.0625000033725408,57.6424995229518,0.814999965474558,0.999999957796502,0,37.8010780972402,-122.282382011724
"32",32,16.1999999868763,0,60.727500724212,0.00749999973648814,3.95249997677913,0,37.801112394338,-122.280111320637
"33",33,21.0650002781517,0,61.0500007806216,1.20249996364075,6.15499998441383,0,37.8011466477198,-122.277840627453
"34",34,26.6950000292913,1.49750003518513,62.1775006732664,4.66499998021619,8.59750011163605,0.50250001628176,37.8011808573853,-122.275569932175
"35",35,31.6874997755368,1.10000002855026,62.4350004511799,4.68499994633042,12.6175002013008,0.272500014718101,37.8012150233347,-122.273299234807
"36",36,0.9999999585819,0,8.99999988013531,0,0,0,37.8023251049193,-122.318756915948
"37",37,1.79749992329687,0,8.99999988013531,0,0.247499989536963,0,37.8023601023039,-122.31648620369
"38",38,1.99999991402221,0,8.99999988013531,0,0.922499960715807,0,37.8023950559724,-122.314215489292
"39",39,1.99999991402221,0,9.85499991096331,0,1.1174999526864,0,37.8024299659246,-122.311944772758
"40",40,1.99999991402221,0,11.6049997316675,0,1.85749992118878,0,37.8024648321606,-122.309674054089
"41",41,3.05999993175707,0,12.4250000052352,0.21749999078736,1.23249994746779,0,37.8024996546802,-122.30740333329
"42",42,5.97249992701235,0,18.3774998559812,0,0.929999960255946,0,37.80256916857,-122.30286188531
"43",43,5.14250003549955,0,25.4274993922955,0,0.602499974315174,0,37.8026038599401,-122.300591158133
"44",44,4.98500005143982,0,31.3899997963959,0.127499994538551,1.13249995176668,0,37.8026385075936,-122.298320428837
"45",45,4.50249996373811,0.0850000046004785,39.0749983816663,0.867499963237276,1.0199999570938,0,37.8026731115305,-122.296049697422
"46",46,4.07749985261405,0.0425000022845313,42.6349992226257,0.757499967887515,0.999999957796502,0,37.8027076717506,-122.293778963893
