OID,OID_1,MEAN_InvDi
-1,1,3357.893398744273800
-1,2,5764.322813585069500
-1,3,4785.426069955977300
-1,4,3927.346187185733900
-1,5,2373.520042751146300
-1,6,709.869723203951710
-1,7,847.544851345486110
-1,8,3305.083859335409700
-1,9,7386.157489633815200
-1,10,2831.679102240668300
-1,11,3481.342546494626300
-1,12,2837.135667192174900
-1,13,4013.873499854835200
-1,14,4130.487556578621500
-1,15,2514.674685118628500
-1,16,772.588503011067700
-1,17,1889.647975881476200
-1,18,5292.354663728412600
-1,19,8710.489271226819300
-1,20,9364.091975911458600
-1,21,6592.595543347104500
-1,22,3738.427790514288100
-1,23,4428.162182287267600
-1,24,5188.244386723972600
-1,25,1670.030532158745700
-1,26,1276.793432430345100
-1,27,4886.709059266786400
-1,28,7548.880241563585500
-1,29,3695.455084128458100
-1,30,6217.794168373972800
-1,31,10250.261283542799000
-1,32,10943.597801378039000
-1,33,8956.648143508671600
-1,34,7651.029889691600100
-1,35,6120.047309313322300
-1,36,1521.830960930718200
-1,37,4104.844793362087300
-1,38,4015.697278813501300
-1,39,1358.908645294524800
-1,40,1406.462175835503600
-1,41,3595.441398046350100
-1,42,751.511051219898260
-1,43,1486.392669340523500
-1,44,2995.831163336469200
-1,45,7101.855776927510300
-1,46,8444.486267746135100
-1,47,8601.444037254819700
-1,48,8373.441367107889200
-1,49,8642.258471679688200
-1,50,6465.611304283142100
-1,51,3424.543745414289800
-1,52,8074.247656928168000
-1,53,7211.913481987847300
-1,54,7865.866214004593500
-1,55,7258.080204890324200
-1,56,6798.296280924479100
-1,57,4175.342256806587100
-1,58,3738.402079587260200
-1,59,4741.161767309839000
-1,60,3792.638924501796300
-1,61,2784.018301052517500
-1,62,5001.027552820701200
-1,63,5171.181257324218700
-1,64,6961.533926052517000
-1,65,3372.130538601345500
-1,66,1720.474066227040300
-1,67,2872.251727838166500
-1,68,1297.792821360158300
-1,69,2609.416810082607800
-1,70,7681.074195498511500
-1,71,9246.099221030433900
-1,72,7585.062941933698300
-1,73,6364.065848944698700
-1,74,7471.261030839951700
-1,75,2483.119700453016300
-1,76,4160.399129231770500
-1,77,2706.908523807010200
-1,78,2445.568412780761700
-1,79,4311.369940863714900
-1,80,1371.333498342413600
-1,81,947.918082343207520
-1,82,5119.193663561021800
-1,83,4110.493836754783800
-1,84,6196.204431482263300
-1,85,3804.015409386676300
-1,86,3870.567614555358900
-1,87,2880.290761650933300
-1,88,628.815083540605540
-1,89,3746.818098194102700
-1,90,561.103027012037160
-1,91,907.930312093098910
-1,92,5262.189429905103700
-1,93,10110.710762140110000
-1,94,7456.160017903645900
-1,95,7505.531062147352700
-1,96,7095.237561610356400
-1,97,3409.111935865432800
-1,98,1840.585804918077200
-1,99,4772.518617312113700
-1,100,4759.882369429977200
-1,101,4756.986006673177100
-1,102,3793.813596674465300
-1,103,4593.621624920819200
-1,104,2925.183161934429300
-1,105,2373.541133197985300
-1,106,5233.920687527126600
-1,107,3386.001977138832000
-1,108,4863.697023041394500
-1,109,5172.824407891912400
-1,110,5882.934482489691600
-1,111,2540.134866037676600
-1,112,987.839659710319670
-1,113,5829.389205593533000
-1,114,3463.783634754834100
-1,115,4623.456078015073200
-1,116,500.590131164227840
-1,117,3584.705398898654500
-1,118,827.743942747724870
-1,119,393.949421924093490
-1,120,1641.922291193781600
-1,121,8824.322598721119000
-1,122,9664.937058221727100
-1,123,9826.168459743923400
-1,124,6537.143636745876400
-1,125,7011.714273681640400
-1,126,2583.195049812780800
-1,127,2015.749311309499900
-1,128,3665.165907796224000
-1,129,7596.398493532274200
-1,130,6519.180224867725000
-1,131,5265.908965902984200
-1,132,1531.286399439761500
-1,133,2919.647508222978100
-1,134,4393.602753984167100
-1,135,943.601985480195710
-1,136,2554.522066167331600
-1,137,3880.221576605902600
-1,138,5877.002762172533000
-1,139,653.781686540787630
-1,140,1930.522091844346700
-1,141,2544.356685214572300
-1,142,691.339081779358930
-1,143,1738.483945528666300
-1,144,7188.198148600260500
-1,145,9219.970655358356500
-1,146,7905.905590300864800
-1,147,6332.959942207134200
-1,148,7152.934079333563200
-1,149,7179.285616238911600
-1,150,2370.038163248697900
-1,151,8873.429257007355800
-1,152,4091.650762557983400
-1,153,1479.988513441943700
-1,154,3961.900635443793400
-1,155,703.686627459782470
